Hex Code,Short Name, Hex Code, Short Name
<div style='background-color:#00FFFF;text-align:center'>#00FFFF</div>,  Cyan <i>or</i> Aqua, <div style='background-color:#FFC0CB;text-align:center'>#FFC0CB</div>,  Pink
<div style='background-color:#00FF00;text-align:center'>#00FF00</div>,  Lime, <div style='background-color:#DDA0DD;text-align:center;color:white'>#DDA0DD</div>,  Plum
<div style='background-color:#008000;text-align:center;color:white'>#008000</div>,  Green, <div style='background-color:#DA70D6;text-align:center;color:white'>#DA70D6</div>,  Orchid
<div style='background-color:#008080;text-align:center;color:white'>#008080</div>,  Teal, <div style='background-color:#EE82EE;text-align:center;color:white'>#EE82EE</div>,  Violet
<div style='background-color:#0000FF;text-align:center;color:white'>#0000FF</div>,  Blue, <div style='background-color:#FF00FF;text-align:center;color:white'>#FF00FF</div>,  Magenta <i>or</i> Fuchsia
<div style='background-color:#000080;text-align:center;color:white'>#000080</div>,  Navy, <div style='background-color:#800080;text-align:center;color:white'>#800080</div>,  Purple
<div style='background-color:#808000;text-align:center;color:white'>#808000</div>,  Olive, <div style='background-color:#4B0082;text-align:center;color:white'>#4B0082</div>,  Indigo
<div style='background-color:#CD853F;text-align:center;color:white'>#CD853F</div>,  Peru, <div style='background-color:#B00000;text-align:center;color:white'>#B00000</div>,  Blush
<div style='background-color:#A0522D;text-align:center;color:white'>#A0522D</div>,  Sienna, <div style='background-color:#FF0000;text-align:center;color:white'>#FF0000</div>,  Red
<div style='background-color:#A52A2A;text-align:center;color:white'>#A52A2A</div>,  Brown, <div style='background-color:#FF6347;text-align:center;color:white'>#FF6347</div>,  Tomato
<div style='background-color:#800000;text-align:center;color:white'>#800000</div>,  Maroon, <div style='background-color:#FA8072;text-align:center;color:white'>#FA8072</div>,  Salmon
<div style='background-color:#FFFFFF;text-align:center'>#FFFFFF</div>,  White, <div style='background-color:#FF7F50;text-align:center;color:white'>#FF7F50</div>,  Coral
<div style='background-color:#FFFAFA;text-align:center'>#FFFAFA</div>,  Snow, <div style='background-color:#FFA500;text-align:center;color:white'>#FFA500</div>,  Orange
<div style='background-color:#FFFFF0;text-align:center'>#FFFFF0</div>,  Ivory, <div style='background-color:#FFD700;text-align:center'>#FFD700</div>,  Gold
<div style='background-color:#FAF0E6;text-align:center'>#FAF0E6</div>,  Linen, <div style='background-color:#FFFF00;text-align:center'>#FFFF00</div>,  Yellow
<div style='background-color:#F5F5DC;text-align:center'>#F5F5DC</div>,  Beige, <div style='background-color:#F0E68C;text-align:center'>#F0E68C</div>,  Khaki
<div style='background-color:#F0FFFF;text-align:center'>#F0FFFF</div>,  Azure, <div style='background-color:#FFE4C4;text-align:center'>#FFE4C4</div>,  Bisque
<div style='background-color:#C0C0C0;text-align:center'>#C0C0C0</div>,  Silver, <div style='background-color:#F5DEB3;text-align:center'>#F5DEB3</div>,  Wheat
<div style='background-color:#808080;text-align:center;color:white'>#808080</div>,  Gray <i>or</i> Grey, <div style='background-color:#D2B48C;text-align:center'>#D2B48C</div>,  Tan
<div style='background-color:#000000;text-align:center;color:white'>#000000</div>,  Black, , 
