Icon,Code,Nme,Icon ,Code ,Name 
<img src="../assets/svgs/materialdesign/svg/arrow-down.svg" height=32 style="margin:0">, <code>E045</code>, arrow-down, <img src="../assets/svgs/materialdesign/svg/lightning-bolt.svg" height=32 style="margin:0">, <code>F40B</code>, lightning-bolt
<img src="../assets/svgs/materialdesign/svg/arrow-down-box.svg" height=32 style="margin:0">, <code>E6C0</code>, arrow-down-box, <img src="../assets/svgs/materialdesign/svg/power.svg" height=32 style="margin:0">, <code>E425</code>, power
<img src="../assets/svgs/materialdesign/svg/arrow-left.svg" height=32 style="margin:0">, <code>E04D</code>, arrow-left, <img src="../assets/svgs/materialdesign/svg/power-plug.svg" height=32 style="margin:0">, <code>E6A5</code>, power-plug
<img src="../assets/svgs/materialdesign/svg/arrow-right.svg" height=32 style="margin:0">, <code>E054</code>, arrow-right, <img src="../assets/svgs/materialdesign/svg/ceiling-light.svg" height=32 style="margin:0">, <code>E769</code>, ceiling-light
<img src="../assets/svgs/materialdesign/svg/arrow-up.svg" height=32 style="margin:0">, <code>E05D</code>, arrow-up, <img src="../assets/svgs/materialdesign/svg/coach-lamp.svg" height=32 style="margin:0">, <code>F020</code>, coach-lamp
<img src="../assets/svgs/materialdesign/svg/arrow-up-box.svg" height=32 style="margin:0">, <code>E6C3</code>, arrow-up-box, <img src="../assets/svgs/materialdesign/svg/desk-lamp.svg" height=32 style="margin:0">, <code>E95F</code>, desk-lamp
<img src="../assets/svgs/materialdesign/svg/chevron-down.svg" height=32 style="margin:0">, <code>E140</code>, chevron-down, <img src="../assets/svgs/materialdesign/svg/floor-lamp.svg" height=32 style="margin:0">, <code>E8DD</code>, floor-lamp
<img src="../assets/svgs/materialdesign/svg/chevron-left.svg" height=32 style="margin:0">, <code>E141</code>, chevron-left, <img src="../assets/svgs/materialdesign/svg/lamp.svg" height=32 style="margin:0">, <code>E6B5</code>, lamp
<img src="../assets/svgs/materialdesign/svg/chevron-right.svg" height=32 style="margin:0">, <code>E142</code>, chevron-right, <img src="../assets/svgs/materialdesign/svg/lightbulb.svg" height=32 style="margin:0">, <code>E335</code>, lightbulb
<img src="../assets/svgs/materialdesign/svg/chevron-up.svg" height=32 style="margin:0">, <code>E143</code>, chevron-up, <img src="../assets/svgs/materialdesign/svg/lightbulb-on.svg" height=32 style="margin:0">, <code>E6E8</code>, lightbulb-on
<img src="../assets/svgs/materialdesign/svg/subdirectory-arrow-left.svg" height=32 style="margin:0">, <code>E60C</code>, subdirectory-arrow-left, <img src="../assets/svgs/materialdesign/svg/outdoor-lamp.svg" height=32 style="margin:0">, <code>F054</code>, outdoor-lamp
<img src="../assets/svgs/materialdesign/svg/check.svg" height=32 style="margin:0">, <code>E12C</code>, check, <img src="../assets/svgs/materialdesign/svg/string-lights.svg" height=32 style="margin:0">, <code>F2BA</code>, string-lights
<img src="../assets/svgs/materialdesign/svg/close.svg" height=32 style="margin:0">, <code>E156</code>, close, <img src="../assets/svgs/materialdesign/svg/vanity-light.svg" height=32 style="margin:0">, <code>F1E1</code>, vanity-light
<img src="../assets/svgs/materialdesign/svg/cog.svg" height=32 style="margin:0">, <code>E493</code>, cog, <img src="../assets/svgs/materialdesign/svg/wall-sconce.svg" height=32 style="margin:0">, <code>E91C</code>, wall-sconce
<img src="../assets/svgs/materialdesign/svg/home.svg" height=32 style="margin:0">, <code>E2DC</code>, home, <img src="../assets/svgs/materialdesign/svg/dots-vertical.svg" height=32 style="margin:0">, <code>E1D9</code>, dots-vertical
<img src="../assets/svgs/materialdesign/svg/home-outline.svg" height=32 style="margin:0">, <code>E6A1</code>, home-outline, <img src="../assets/svgs/materialdesign/svg/bed.svg" height=32 style="margin:0">, <code>E2E3</code>, bed
<img src="../assets/svgs/materialdesign/svg/minus.svg" height=32 style="margin:0">, <code>E374</code>, minus, <img src="../assets/svgs/materialdesign/svg/car.svg" height=32 style="margin:0">, <code>E10B</code>, car
<img src="../assets/svgs/materialdesign/svg/plus.svg" height=32 style="margin:0">, <code>E415</code>, plus, <img src="../assets/svgs/materialdesign/svg/coffee.svg" height=32 style="margin:0">, <code>E176</code>, coffee
<img src="../assets/svgs/materialdesign/svg/air-conditioner.svg" height=32 style="margin:0">, <code>E01B</code>, air-conditioner, <img src="../assets/svgs/materialdesign/svg/pool.svg" height=32 style="margin:0">, <code>E606</code>, pool
<img src="../assets/svgs/materialdesign/svg/fire.svg" height=32 style="margin:0">, <code>E238</code>, fire, <img src="../assets/svgs/materialdesign/svg/shower.svg" height=32 style="margin:0">, <code>E9A0</code>, shower
<img src="../assets/svgs/materialdesign/svg/radiator.svg" height=32 style="margin:0">, <code>E438</code>, radiator, <img src="../assets/svgs/materialdesign/svg/silverware-fork-knife.svg" height=32 style="margin:0">, <code>EA70</code>, silverware-fork-knife
<img src="../assets/svgs/materialdesign/svg/radiator-disabled.svg" height=32 style="margin:0">, <code>EAD7</code>, radiator-disabled, <img src="../assets/svgs/materialdesign/svg/sofa.svg" height=32 style="margin:0">, <code>E4B9</code>, sofa
<img src="../assets/svgs/materialdesign/svg/snowflake.svg" height=32 style="margin:0">, <code>E717</code>, snowflake, <img src="../assets/svgs/materialdesign/svg/toilet.svg" height=32 style="margin:0">, <code>E9AB</code>, toilet
