Icon,Code,Name,Icon ,Code ,Name 
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/arrow-down.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/arrow-down.svg)"></span>, <code>E045</code>, arrow-down, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/battery-high.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/battery-high.svg)"></span>, <code>F2A3</code>, battery-high
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/arrow-down-box.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/arrow-down-box.svg)"></span>, <code>E6C0</code>, arrow-down-box, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/battery-low.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/battery-low.svg)"></span>, <code>F2A1</code>, battery-low
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/arrow-left.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/arrow-left.svg)"></span>, <code>E04D</code>, arrow-left, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/battery-medium.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/battery-medium.svg)"></span>, <code>F2A2</code>, battery-medium
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/arrow-right.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/arrow-right.svg)"></span>, <code>E054</code>, arrow-right, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/battery-outline.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/battery-outline.svg)"></span>, <code>E08E</code>, battery-outline
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/arrow-up.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/arrow-up.svg)"></span>, <code>E05D</code>, arrow-up, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/ev-station.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/ev-station.svg)"></span>, <code>E5F1</code>, ev-station
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/arrow-up-box.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/arrow-up-box.svg)"></span>, <code>E6C3</code>, arrow-up-box, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/leaf.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/leaf.svg)"></span>, <code>E32A</code>, leaf
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/chevron-down.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/chevron-down.svg)"></span>, <code>E140</code>, chevron-down, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/lightning-bolt.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/lightning-bolt.svg)"></span>, <code>F40B</code>, lightning-bolt
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/chevron-left.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/chevron-left.svg)"></span>, <code>E141</code>, chevron-left, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/power.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/power.svg)"></span>, <code>E425</code>, power
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/chevron-right.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/chevron-right.svg)"></span>, <code>E142</code>, chevron-right, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/power-plug.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/power-plug.svg)"></span>, <code>E6A5</code>, power-plug
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/chevron-up.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/chevron-up.svg)"></span>, <code>E143</code>, chevron-up, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/ceiling-light.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/ceiling-light.svg)"></span>, <code>E769</code>, ceiling-light
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/subdirectory-arrow-left.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/subdirectory-arrow-left.svg)"></span>, <code>E60C</code>, subdirectory-arrow-left, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/coach-lamp.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/coach-lamp.svg)"></span>, <code>F020</code>, coach-lamp
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/air-conditioner.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/air-conditioner.svg)"></span>, <code>E01B</code>, air-conditioner, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/desk-lamp.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/desk-lamp.svg)"></span>, <code>E95F</code>, desk-lamp
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/cloud-search-outline.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/cloud-search-outline.svg)"></span>, <code>E957</code>, cloud-search-outline , <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/floor-lamp.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/floor-lamp.svg)"></span>, <code>E8DD</code>, floor-lamp
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/fire.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/fire.svg)"></span>, <code>E238</code>, fire, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/lamp.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/lamp.svg)"></span>, <code>E6B5</code>, lamp
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/radiator.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/radiator.svg)"></span>, <code>E438</code>, radiator, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/lightbulb.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/lightbulb.svg)"></span>, <code>E335</code>, lightbulb
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/radiator-disabled.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/radiator-disabled.svg)"></span>, <code>EAD7</code>, radiator-disabled, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/lightbulb-on.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/lightbulb-on.svg)"></span>, <code>E6E8</code>, lightbulb-on
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/snowflake.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/snowflake.svg)"></span>, <code>E717</code>, snowflake, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/outdoor-lamp.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/outdoor-lamp.svg)"></span>, <code>F054</code>, outdoor-lamp
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/thermometer.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/thermometer.svg)"></span>, <code>E50F</code>, thermometer, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/string-lights.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/string-lights.svg)"></span>, <code>F2BA</code>, string-lights
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/water.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/water.svg)"></span>, <code>E58C</code>, water, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/vanity-light.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/vanity-light.svg)"></span>, <code>F1E1</code>, vanity-light
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/water-percent.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/water-percent.svg)"></span>, <code>E58E</code>, water-percent, <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/wall-sconce.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/wall-sconce.svg)"></span>, <code>E91C</code>, wall-sconce
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/weather-cloudy.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/weather-cloudy.svg)"></span>, <code>E590</code>, weather-cloudy , <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/check.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/check.svg)"></span>, <code>E12C</code>, check
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/weather-fog.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/weather-fog.svg)"></span>, <code>E591</code>, weather-fog , <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/close.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/close.svg)"></span>, <code>E156</code>, close
<span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/weather-hail.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/weather-hail.svg)"></span>, <code>E592</code>, weather-hail , <span class="mdi-icon" style="mask:url(../../assets/svgs/materialdesign/svg/cog.svg);-webkit-mask-box-image:url(../../assets/svgs/materialdesign/svg/cog.svg)"></span>, <code>E493</code>, cog
