img, haspCP,name, importance,mdiCP,purpose, remarks
<img src="../../assets/svgs/materialdesign/svg/check.svg" height=32 style="margin:0">,<code>E12C</code>,check,100,0xf012c,btn-nav,lvgl keyboard
<img src="../../assets/svgs/materialdesign/svg/chevron-down.svg" height=32 style="margin:0">,<code>E140</code>,chevron-down,100,0xf0140,arrow,lvgl keyboard
<img src="../../assets/svgs/materialdesign/svg/chevron-left.svg" height=32 style="margin:0">,<code>E141</code>,chevron-left,100,0xf0141,arrow,lvgl keyboard
<img src="../../assets/svgs/materialdesign/svg/chevron-right.svg" height=32 style="margin:0">,<code>E142</code>,chevron-right,100,0xf0142,arrow,lvgl keyboard
<img src="../../assets/svgs/materialdesign/svg/chevron-up.svg" height=32 style="margin:0">,<code>E143</code>,chevron-up,100,0xf0143,arrow,lvgl keyboard
<img src="../../assets/svgs/materialdesign/svg/close.svg" height=32 style="margin:0">,<code>E156</code>,close,100,0xf0156,btn-nav,lvgl keyboard
<img src="../../assets/svgs/materialdesign/svg/arrow-down.svg" height=32 style="margin:0">,<code>E045</code>,arrow-down,95,0xf0045,arrow,navigation
<img src="../../assets/svgs/materialdesign/svg/arrow-left.svg" height=32 style="margin:0">,<code>E04D</code>,arrow-left,95,0xf004d,arrow,navigation
<img src="../../assets/svgs/materialdesign/svg/arrow-right.svg" height=32 style="margin:0">,<code>E054</code>,arrow-right,95,0xf0054,arrow,navigation
<img src="../../assets/svgs/materialdesign/svg/arrow-up.svg" height=32 style="margin:0">,<code>E05D</code>,arrow-up,95,0xf005d,arrow,navigation
<img src="../../assets/svgs/materialdesign/svg/home.svg" height=32 style="margin:0">,<code>E2DC</code>,home,95,0xf02dc,btn-nav,place
<img src="../../assets/svgs/materialdesign/svg/minus.svg" height=32 style="margin:0">,<code>E374</code>,minus,95,0xf0374,btn-nav, controls
<img src="../../assets/svgs/materialdesign/svg/plus.svg" height=32 style="margin:0">,<code>E415</code>,plus,95,0xf0415,btn-nav, controls
<img src="../../assets/svgs/materialdesign/svg/snowflake.svg" height=32 style="margin:0">,<code>E717</code>,snowflake,95,0xf0717,climate, scene and weather
<img src="../../assets/svgs/materialdesign/svg/subdirectory-arrow-left.svg" height=32 style="margin:0">,<code>E60C</code>,subdirectory-arrow-left,95,0xf060c,arrow,use lvgl keyboard-return
<img src="../../assets/svgs/materialdesign/svg/weather-sunny.svg" height=32 style="margin:0">,<code>E599</code>,weather-sunny,95,0xf0599,climate, scene and weather
<img src="../../assets/svgs/materialdesign/svg/white-balance-sunny.svg" height=32 style="margin:0">,<code>E5A8</code>,white-balance-sunny,95,0xf05a8,climate, scene; controls and weather
<img src="../../assets/svgs/materialdesign/svg/lightbulb.svg" height=32 style="margin:0">,<code>E335</code>,lightbulb,90,0xf0335,light, home control
<img src="../../assets/svgs/materialdesign/svg/lightbulb-on.svg" height=32 style="margin:0">,<code>E6E8</code>,lightbulb-on,90,0xf06e8,light, home control
<img src="../../assets/svgs/materialdesign/svg/thermometer.svg" height=32 style="margin:0">,<code>E50F</code>,thermometer,90,0xf050f,climate, sensor display
<img src="../../assets/svgs/materialdesign/svg/water-percent.svg" height=32 style="margin:0">,<code>E58E</code>,water-percent,90,0xf058e,climate, sensor display
<img src="../../assets/svgs/materialdesign/svg/weather-night.svg" height=32 style="margin:0">,<code>E594</code>,weather-night,90,0xf0594,climate, scene and weather
<img src="../../assets/svgs/materialdesign/svg/lightning-bolt.svg" height=32 style="margin:0">,<code>F40B</code>,lightning-bolt,80,0xf140b,energy, sensor display
<img src="../../assets/svgs/materialdesign/svg/wifi.svg" height=32 style="margin:0">,<code>E5A9</code>,wifi,80,0xf05a9,wireless, connectivity display
<img src="../../assets/svgs/materialdesign/svg/cellphone.svg" height=32 style="margin:0">,<code>E11C</code>,cellphone,75,0xf011c,device,presence
<img src="../../assets/svgs/materialdesign/svg/power.svg" height=32 style="margin:0">,<code>E425</code>,power,75,0xf0425,energy, home control
<img src="../../assets/svgs/materialdesign/svg/ceiling-light.svg" height=32 style="margin:0">,<code>E769</code>,ceiling-light,70,0xf0769,light, home control
<img src="../../assets/svgs/materialdesign/svg/door-closed.svg" height=32 style="margin:0">,<code>E81B</code>,door-closed,70,0xf081b,security, sensor display
<img src="../../assets/svgs/materialdesign/svg/door-closed-lock.svg" height=32 style="margin:0">,<code>F0AF</code>,door-closed-lock,70,0xf10af,security, sensor display
<img src="../../assets/svgs/materialdesign/svg/door-open.svg" height=32 style="margin:0">,<code>E81C</code>,door-open,70,0xf081c,security, sensor display
<img src="../../assets/svgs/materialdesign/svg/laptop.svg" height=32 style="margin:0">,<code>E322</code>,laptop,70,0xf0322,device,presence
<img src="../../assets/svgs/materialdesign/svg/power-plug.svg" height=32 style="margin:0">,<code>E6A5</code>,power-plug,70,0xf06a5,energy, home control
<img src="../../assets/svgs/materialdesign/svg/clock-outline.svg" height=32 style="margin:0">,<code>E150</code>,clock-outline,65,0xf0150,time, sensor display
<img src="../../assets/svgs/materialdesign/svg/garage-open-variant.svg" height=32 style="margin:0">,<code>F2D4</code>,garage-open-variant,65,0xf12d4,control, home control
<img src="../../assets/svgs/materialdesign/svg/garage-variant.svg" height=32 style="margin:0">,<code>F2D3</code>,garage-variant,65,0xf12d3,control, home control
